Fruit,FeedbackText,Freshness,Price,Quality,Service,Rating,Satisfaction
Watermelon,Excellent freshness and timely delivery.,8,7,8,9,5,Satisfied
Papaya,Very juicy and sweet fruit.,8,7,8,8,4,Satisfied
Guava,Will not recommend this shop.,3,3,5,4,2,Unsatisfied
Banana,Will not recommend this shop.,3,5,2,4,2,Unsatisfied
Strawberry,Taste was not good at all.,2,4,5,1,2,Unsatisfied
Pineapple,The fruit was fresh and delicious.,9,8,8,7,4,Satisfied
Grapes,Impressed by the cleanliness and quality.,8,9,8,8,5,Satisfied
Pineapple,Very juicy and sweet fruit.,9,9,9,8,4,Satisfied
Apple,Very bad experience overall.,3,4,4,1,1,Unsatisfied
Mango,The fruit was fresh and delicious.,8,9,8,7,4,Satisfied
Papaya,Always fresh and reasonably priced.,8,8,9,7,5,Satisfied
Orange,Bad service and unripe fruit.,2,2,1,2,1,Unsatisfied
Watermelon,Poor freshness and packaging.,2,4,4,4,1,Unsatisfied
Grapes,Very juicy and sweet fruit.,9,7,9,9,4,Satisfied
Strawberry,Very juicy and sweet fruit.,9,7,9,8,5,Satisfied
Guava,Very bad experience overall.,4,2,2,4,2,Unsatisfied
Apple,Quality and packaging were top-notch.,8,9,9,8,5,Satisfied
Watermelon,Delivery was delayed and fruits were spoiled.,2,2,4,4,1,Unsatisfied
Orange,Excellent freshness and timely delivery.,9,7,9,7,5,Satisfied
Orange,Delivery was delayed and fruits were spoiled.,5,2,1,4,2,Unsatisfied
Banana,Quality and packaging were top-notch.,9,7,8,7,4,Satisfied
Banana,Very bad experience overall.,5,1,1,1,2,Unsatisfied
Papaya,Best fruit store I have visited.,8,9,8,9,4,Satisfied
Banana,Will not recommend this shop.,3,3,1,3,1,Unsatisfied
Apple,Very bad experience overall.,2,2,1,4,1,Unsatisfied
Apple,Disappointed with the quality.,1,4,2,1,2,Unsatisfied
Apple,Taste was not good at all.,5,3,4,3,1,Unsatisfied
Strawberry,Loved the taste and quality!,8,9,8,9,5,Satisfied
Watermelon,Too expensive for the quality provided.,3,1,5,2,1,Unsatisfied
Orange,Excellent freshness and timely delivery.,8,8,8,9,4,Satisfied
Strawberry,Bad service and unripe fruit.,2,2,4,5,1,Unsatisfied
Watermelon,Will not recommend this shop.,1,4,5,4,2,Unsatisfied
Pineapple,The fruit was not fresh.,5,5,3,5,2,Unsatisfied
Banana,Bad service and unripe fruit.,5,3,3,4,2,Unsatisfied
Banana,Best fruit store I have visited.,9,7,9,7,4,Satisfied
Orange,Best fruit store I have visited.,9,8,9,9,5,Satisfied
Papaya,The fruit was fresh and delicious.,9,9,9,7,4,Satisfied
Banana,Impressed by the cleanliness and quality.,9,7,8,7,4,Satisfied
Banana,Delivery was delayed and fruits were spoiled.,1,4,5,1,1,Unsatisfied
Pineapple,Poor freshness and packaging.,3,1,5,1,1,Unsatisfied
Papaya,Too expensive for the quality provided.,2,4,3,1,2,Unsatisfied
Orange,Overpriced and not worth it.,1,1,2,4,2,Unsatisfied
Apple,Very bad experience overall.,2,3,1,5,1,Unsatisfied
Papaya,Best fruit store I have visited.,9,7,8,7,5,Satisfied
Guava,Impressed by the cleanliness and quality.,9,8,8,7,5,Satisfied
Apple,Excellent freshness and timely delivery.,8,7,8,8,5,Satisfied
Orange,Best fruit store I have visited.,8,8,9,8,5,Satisfied
Papaya,Very bad experience overall.,4,3,3,1,1,Unsatisfied
Banana,Best fruit store I have visited.,9,7,9,8,5,Satisfied
Apple,Taste was not good at all.,3,1,1,4,1,Unsatisfied
Grapes,Very bad experience overall.,5,3,4,4,1,Unsatisfied
Grapes,Quality and packaging were top-notch.,9,9,9,9,4,Satisfied
Pineapple,Bad service and unripe fruit.,3,4,4,1,1,Unsatisfied
Orange,Best fruit store I have visited.,9,9,9,7,4,Satisfied
Grapes,Disappointed with the quality.,4,1,1,2,1,Unsatisfied
Strawberry,Impressed by the cleanliness and quality.,8,8,9,9,4,Satisfied
Grapes,Quality and packaging were top-notch.,9,8,9,7,5,Satisfied
Pineapple,Loved the taste and quality!,9,7,9,7,5,Satisfied
Banana,Quality and packaging were top-notch.,9,7,8,9,4,Satisfied
Apple,The fruit was not fresh.,1,1,3,3,2,Unsatisfied
Papaya,Overpriced and not worth it.,3,4,1,4,1,Unsatisfied
Papaya,Great service and price.,8,8,9,8,4,Satisfied
Apple,The fruit was not fresh.,1,3,1,5,2,Unsatisfied
Mango,Poor freshness and packaging.,2,2,3,5,1,Unsatisfied
Apple,Excellent freshness and timely delivery.,9,7,9,7,5,Satisfied
Grapes,Overpriced and not worth it.,5,4,3,1,2,Unsatisfied
Pineapple,Best fruit store I have visited.,8,9,8,8,4,Satisfied
Pineapple,The fruit was not fresh.,5,3,3,3,2,Unsatisfied
Orange,Poor freshness and packaging.,5,1,4,1,1,Unsatisfied
Banana,Impressed by the cleanliness and quality.,9,7,9,9,5,Satisfied
Grapes,Overpriced and not worth it.,3,1,1,4,2,Unsatisfied
Apple,Great service and price.,9,7,9,7,5,Satisfied
Strawberry,Bad service and unripe fruit.,3,4,1,5,2,Unsatisfied
Orange,Too expensive for the quality provided.,5,1,5,3,2,Unsatisfied
Banana,Delivery was delayed and fruits were spoiled.,1,4,5,5,2,Unsatisfied
Apple,Very juicy and sweet fruit.,8,7,9,9,5,Satisfied
Papaya,Excellent freshness and timely delivery.,9,7,9,9,5,Satisfied
